fruits 
apple
watermelon
orange
pear
cherry
strawberry

grape
mango
blueberry
pomegranate

plum
banana
raspberry

jackfruit
papaya
kiwi
pineapple
lime
lemon
apricot
grapefruit
melon
coconut
avocado
peach
